,tweet_id,author_id,retweet_count,like_count,text,language,created_at,source,possibly_sensitive,image_url
1471529243595231236,1471529243595231236,925356866586234880,32,0,"RT @DeadlineDayLive: 🚨 Ipswich Town are set to appoint Manchester United first-team coach Kieran McKenna as their new manager.

(Source: Sk…",en,2021-12-16T17:14:46.000Z,Twitter for iPhone,False,
1471529218781630465,1471529218781630465,998506882657644544,2,0,RT @ManUtdMEN: Louis Saha slams Cristiano Ronaldo pressing critics at Manchester United #mufc https://t.co/m6HLHtZWWx,en,2021-12-16T17:14:40.000Z,Twitter for iPhone,False,
1471529216852348928,1471529216852348928,3305966134,1122,0,RT @OficialSala12: Mbappé comemorando seu 100° gol com a camisa do PSG do mesmo jeito que Cristiano Ronaldo comemorou seu 100° gol pelo Man…,pt,2021-12-16T17:14:39.000Z,Twitter for Android,False,
1471529205326360578,1471529205326360578,1263597543335829504,1,0,"RT @ManUtdMEN: Manchester United links with Mino Raiola could change as new ruling paves way for Erling Haaland | @Casey_Evans_ #mufc
https…",en,2021-12-16T17:14:36.000Z,Twitter for Android,False,
1471529198325886976,1471529198325886976,2991970040,1475,0,RT @FabrizioRomano: Dean Henderson’s always been respectful and professional but he’s now prepared to leave Manchester United. His priority…,en,2021-12-16T17:14:35.000Z,Twitter for iPhone,False,
1471529187576094732,1471529187576094732,207736677,0,0,"New ⁦@TheBusbyBabe⁩ podcast
Got ⁦@NathanIsRed⁩ back on the show, with his USL L1 Media championship belt, talking Ralfball and other Manchester United things with ⁦@pkwestel⁩ and I. #MUFC  https://t.co/aAy930ViFD",en,2021-12-16T17:14:32.000Z,Twitter for iPhone,False,
1471529163207045120,1471529163207045120,2820178241,45,0,RT @VarskySports: La Premier acaba de postergar Manchester United - Brighton. La situación es crítica dada la cantidad de clubes afectados…,es,2021-12-16T17:14:26.000Z,Twitter for Android,False,
1471529155749629958,1471529155749629958,1257041019503329280,108,0,"RT @TeamCRonaldo: Merih Demiral : 

""Ronaldo made a big difference in the group, without his goals, Manchester United will not qualify for…",en,2021-12-16T17:14:25.000Z,Twitter for Android,False,
1471529137051422732,1471529137051422732,1246835484153823234,0,0,"*Football Shirts Wanted*

I am buying old football shirts from PL, EFL and international such as Real Madrid and Barcelona, so if you have any old football shirts you want rid off from teams such as Morecambe FC, Manchester United and England please get in touch, cash waiting!",en,2021-12-16T17:14:20.000Z,Twitter for iPhone,False,
1471529132525764613,1471529132525764613,3794704769,2,0,RT @ghanayesu_: I don’t know who to hear this but I want to tell you that Manchester United will win this season Champions league and Ronal…,en,2021-12-16T17:14:19.000Z,Twitter for iPhone,False,
1471529130504114180,1471529130504114180,3321340247,1476,0,RT @FabrizioRomano: Dean Henderson’s always been respectful and professional but he’s now prepared to leave Manchester United. His priority…,en,2021-12-16T17:14:19.000Z,Twitter for iPhone,False,
1471529115601801216,1471529115601801216,1263597543335829504,2,0,RT @ManUtdMEN: Louis Saha slams Cristiano Ronaldo pressing critics at Manchester United #mufc https://t.co/m6HLHtZWWx,en,2021-12-16T17:14:15.000Z,Twitter for Android,False,
1471529105694896130,1471529105694896130,2369912218,17,0,"RT @usmntonly: A look at 16-year-old Kristian Fletcher, who is expected to sign with Borussia Dortmund, per @KeithCostigan. 

He trialed at…",en,2021-12-16T17:14:13.000Z,Twitter for iPhone,False,
1471529101232119812,1471529101232119812,98096633,49,0,RT @SuperSportTV: Manchester United's Saturday fixture against Brighton has been postponed ❌ https://t.co/26zUB7yYyl,en,2021-12-16T17:14:12.000Z,Twitter for iPhone,False,https://pbs.twimg.com/media/FGvMKr2UcAUNtEE.jpg
1471529098027671552,1471529098027671552,1264664542874947587,1476,0,RT @FabrizioRomano: Dean Henderson’s always been respectful and professional but he’s now prepared to leave Manchester United. His priority…,en,2021-12-16T17:14:11.000Z,Twitter for iPhone,False,
1471529092050792458,1471529092050792458,1243349897606291457,514,0,RT @brfootball: The Premier League confirm that Manchester United's game against Brighton on Saturday will be postponed due to rise of COVI…,en,2021-12-16T17:14:09.000Z,Twitter for Android,False,
1471529089018494977,1471529089018494977,1103537093244907520,156,0,"RT @ChampionsLeague: 𝗧𝗛𝗥𝗘𝗔𝗗: Acrobatic Manchester United goals!

#TBT | #UCL https://t.co/mtPufDb1dS",en,2021-12-16T17:14:09.000Z,Twitter for iPhone,False,https://pbs.twimg.com/media/FGu8vnQXIAQL_y9.jpg
1471529070307463179,1471529070307463179,1212055417360011267,2,0,RT @ghanayesu_: I don’t know who to hear this but I want to tell you that Manchester United will win this season Champions league and Ronal…,en,2021-12-16T17:14:04.000Z,Twitter for iPhone,False,
1471529056470511620,1471529056470511620,1243349897606291457,41,0,"RT @DeadlineDayLive: 🚨 Manchester United first team coach Kieran McKenna is in advanced talks to take over as Ipswich Town manager.

(Sourc…",en,2021-12-16T17:14:01.000Z,Twitter for Android,False,
1471529036925054980,1471529036925054980,2782286133,989,0,"RT @WelBeast: West Ham this season beat:
Pep Guardiola's Manchester City
Thomas Tuchel's Chelsea
Jurgen Klopp's Liverpool 
Manchester Unite…",en,2021-12-16T17:13:56.000Z,Twitter for Android,False,
1471529035926810630,1471529035926810630,57506989,1476,0,RT @FabrizioRomano: Dean Henderson’s always been respectful and professional but he’s now prepared to leave Manchester United. His priority…,en,2021-12-16T17:13:56.000Z,Twitter for iPhone,False,
1471529035540971530,1471529035540971530,1300043118973075457,0,0,Manchester United vs Brighton Postponed over Covid Outbreak: Premier League https://t.co/ByKJyAExTy,en,2021-12-16T17:13:56.000Z,WordPress.com,False,
1471529031665393684,1471529031665393684,1294731769325842432,0,0,Manchester United vs Brighton Postponed over Covid Outbreak: Premier League https://t.co/S7fPMil2t9,en,2021-12-16T17:13:55.000Z,WordPress.com,False,
1471529024446939136,1471529024446939136,1263597543335829504,1,0,RT @ManUtdMEN: Manchester United receive Aurelien Tchouameni transfer response from Monaco chief https://t.co/8O8Dv778uU,en,2021-12-16T17:13:53.000Z,Twitter for Android,False,
