,user_id,username,created_at,description,profile_image_url,protected,verified,followers_count,following_count,tweet_count,listed_count
1254320613445062659,1254320613445062659,rawatakhilesh09,2020-04-26T08:05:25.000Z,"visca el Barca, visca el Catalonia💪💪
(mes que un club)😇😇😇
ONLY BARCA😍😍",https://pbs.twimg.com/profile_images/1469275937791381504/TvzIqe9j_normal.jpg,False,False,29,97,5522,0
1453823736147292167,1453823736147292167,nazareno_brayan,2021-10-28T20:39:38.000Z,fútbol y noticias relevantes de todo el mundo!!,https://pbs.twimg.com/profile_images/1470510455965863941/MA0gZO8E_normal.jpg,False,False,3,72,79,0
974658506585460736,974658506585460736,HonestDDG,2018-03-16T14:47:51.000Z,De Glued Fan,https://pbs.twimg.com/profile_images/1455669137653604352/DhS5tPV2_normal.jpg,False,False,130,194,1384,0
1464002177580556295,1464002177580556295,keemo2323,2021-11-25T22:45:05.000Z,"""اللهُمَّ أرني عجائب صنعك في دعائي وأرني لطفك ورحمتك في قضاء حوائجي وأرني كرمك وقدرتك في ما تعلق به قلبي""",https://pbs.twimg.com/profile_images/1464002786409029632/Twywv4Pm_normal.jpg,False,False,24,1578,2897,0
1353745603373764609,1353745603373764609,FPLFANS1,2021-01-25T16:44:49.000Z,"🏴󠁧󠁢󠁥󠁮󠁧󠁿⚽ Fantasy Premier League en Español. 
2020/21 - OR: 48,304
Tips, noticias y seguimiento de la FPL.",https://pbs.twimg.com/profile_images/1416826820553592836/LGTv3nOQ_normal.jpg,False,False,222,207,1248,1
424114759,424114759,frozenpeas91,2011-11-29T10:18:57.000Z,forever sone no matter what | pink blood until the end,https://pbs.twimg.com/profile_images/909075287572283392/lGGCYI17_normal.jpg,False,False,179,131,6615,0
228001803,228001803,Mingwa04,2010-12-18T12:40:49.000Z,,https://pbs.twimg.com/profile_images/1465903279443898378/MKurnjti_normal.jpg,False,False,804,511,87214,1
41299446,41299446,futbolete,2009-05-20T04:55:10.000Z,"Futbolete es fútbol, Marketing & Business ➡️ IG 📸https://t.co/Z8wlFANtn0",https://pbs.twimg.com/profile_images/1462950531735904267/nUtgj-RT_normal.jpg,False,True,47359,2186,64103,270
1155133121282662400,1155133121282662400,SportGrillBlog,2019-07-27T15:09:32.000Z,Latest news and reaction across Football and Motorsport. 24/7 #SportGrill97 Email: SportGrillblog@hotmail.com,https://pbs.twimg.com/profile_images/1155133640143249415/SMtuD2LB_normal.jpg,False,False,295,3742,45635,2
701321176040284160,701321176040284160,KelvinEm254,2016-02-21T08:22:53.000Z,"Engineering Student!
Graphic Designer!
Introvert 🤭
Music is heartbeat 😉",https://pbs.twimg.com/profile_images/1323269202946461697/YXhaf1Ei_normal.jpg,False,False,118,71,14009,1
1132789568338616320,1132789568338616320,Michael27065997,2019-05-26T23:24:14.000Z,Yo,https://pbs.twimg.com/profile_images/1468452688585052162/_4sQXWr4_normal.jpg,False,False,246,753,3719,0
1080144484799840258,1080144484799840258,Larissa024073,2019-01-01T16:51:28.000Z,🇾🇪,https://pbs.twimg.com/profile_images/1432502313168609282/PFNDJL1c_normal.jpg,False,False,2,44,110,0
1320353113803493377,1320353113803493377,Thebocs,2020-10-25T13:15:03.000Z,I follow back those who follow and retweet my tweets,https://pbs.twimg.com/profile_images/1460262363240742919/-HBWz29S_normal.jpg,False,False,2679,5007,40108,0
1263597543335829504,1263597543335829504,JoAroma56,2020-05-21T22:28:33.000Z,Football(Manutd)🔥SM 4LYF,https://pbs.twimg.com/profile_images/1396377641142431745/YTdujiE4_normal.jpg,False,False,3757,4904,58914,0
1166073699075858439,1166073699075858439,CampenDeAmrica4,2019-08-26T19:43:49.000Z,"Disidente del coronavirus.
Sombrilla Larreta es el peor enemigo de la libertad.",https://pbs.twimg.com/profile_images/1460459608192032771/vfPMK9Am_normal.jpg,False,False,1032,1728,58563,1
1297607412149493761,1297607412149493761,FPLJonSnow,2020-08-23T18:51:37.000Z,"A mediocre FPL manager, cause I know nothing. FPL Youtuber, subscribe untuk tips dan insight seputar dunia FPL, link ada di bawah! 👇🏻",https://pbs.twimg.com/profile_images/1297727832857051141/RsBoyySI_normal.jpg,False,False,358,561,3138,0
1153766626292113408,1153766626292113408,amnaq17,2019-07-23T20:39:34.000Z,🦋,https://pbs.twimg.com/profile_images/1449897598261862407/OdcaWLQj_normal.jpg,False,False,74,192,3647,0
885252919653806080,885252919653806080,kauancarneiiro,2017-07-12T21:41:58.000Z,ta aqui pra ver minha capa?,https://pbs.twimg.com/profile_images/1448110066553475078/Lq7DKRsr_normal.jpg,False,False,2506,2278,39344,1
2199458612,2199458612,Wiz_Halson,2013-11-17T12:41:28.000Z,✌️|#TeamRealMadrid ⚽️ #TeamNBA🏀,https://pbs.twimg.com/profile_images/1361855975389560834/Agu4wXE4_normal.jpg,False,False,643,484,50011,10
453988188,453988188,ZulhelmiRazal,2012-01-03T14:10:58.000Z,Twit aku bkn pasal kau..Mohon jgn terasa... #GGMU,https://pbs.twimg.com/profile_images/903600584682422272/04znNZL1_normal.jpg,False,False,326,332,172026,13
1419586399313874947,1419586399313874947,Hauritz5,2021-07-26T09:12:36.000Z,United Through And Through❤️,https://pbs.twimg.com/profile_images/1465312438308331523/Fiookwwc_normal.jpg,False,False,54,356,547,0
2731582024,2731582024,IbenemeEmmanue3,2014-08-02T12:16:57.000Z,👨🏽‍⚕️👨🏽‍⚕️Med student 🇺🇦🇺🇦.                 GGMU🟡🟢🔴,https://pbs.twimg.com/profile_images/1394450071392034822/VUVTlEGb_normal.jpg,False,False,1643,1345,91193,3
757556534,757556534,dejite007,2012-08-14T17:33:12.000Z,"Give me that joy I can't explain, and extra peace that'll ease my pain.....   Politics and football are my life....C.E.O FIRST CHOICE EDUCATIONAL CONSULT",https://pbs.twimg.com/profile_images/883346577833832448/obyLHZaR_normal.jpg,False,False,239,973,6919,3
1456595977821831172,1456595977821831172,Manufcboss,2021-11-05T12:15:27.000Z,"Info Seputar ManU 📰🔴⚪⚫

Fans Santuy (gak ribet)💪🏴

LIVE Emyu 💯


Santui aja, nikmati permainannya ⚽",https://pbs.twimg.com/profile_images/1469216894557196288/qLlgohTh_normal.jpg,False,False,8,21,62,0
3534222021,3534222021,newsoneplace,2015-09-03T13:15:22.000Z,"https://t.co/WWMmIkl7DB is a news aggregator, it gathers news from different sources around the UK and the world, 24/7 automatically. All news in one place.
#TrendsSpy",https://pbs.twimg.com/profile_images/1393992289446412290/YHcCY0t3_normal.jpg,False,False,930,144,1551920,1460
1435983009530982402,1435983009530982402,Rodri_goat23,2021-09-09T15:07:10.000Z,"*Ruido de mate*
No soy @RodrigoSalmonix",https://pbs.twimg.com/profile_images/1467741265638961153/q_jeNB3u_normal.jpg,False,False,374,523,6253,0
10842792,10842792,geglobo,2007-12-04T16:44:39.000Z,"É esporte sempre!

Perfil oficial do https://t.co/m4AdNoKpTB no Twitter",https://pbs.twimg.com/profile_images/1288462218489729030/3r1KTKKj_normal.jpg,False,True,5528798,383,358684,9060
1076348538102128640,1076348538102128640,daily_usanews,2018-12-22T05:27:43.000Z,"The USA News is a Professional & Fastest Growing News Platform. Here we will provide you with only interesting content, which you will like very much.",https://pbs.twimg.com/profile_images/1403608085021683722/WPN3h4Vs_normal.jpg,False,False,392,2830,117362,1
1272413148042141697,1272413148042141697,unlimited_viral,2020-06-15T06:18:43.000Z,"Unlimited Viral News in The World
https://t.co/YTWTzCZZjM",https://pbs.twimg.com/profile_images/1380616309394837510/O1y7q-_t_normal.jpg,False,False,43,29,54772,0
2423012155,2423012155,aguilar_d26,2014-04-02T01:45:30.000Z,Apasionado por el fútbol 🇬🇹❤ - DyK - Musico - #BandaGenesis,https://pbs.twimg.com/profile_images/1097548813261254657/F-Y8tZUZ_normal.jpg,False,False,221,522,94175,0
1468467386366193666,1468467386366193666,ChinNguynngc1,2021-12-08T06:28:26.000Z,Người vui tính,https://pbs.twimg.com/profile_images/1468467490389114883/1iXnQdIr_normal.png,False,False,0,22,2,0
881512787591045120,881512787591045120,theyanism,2017-07-02T14:00:01.000Z,"Si bodoh / Asshole





























































 tweet kucing auto rt",https://pbs.twimg.com/profile_images/1458628023800922115/CN-bTYa6_normal.jpg,False,False,3346,1650,18302,0
1379220785450135554,1379220785450135554,heisdhammie,2021-04-05T23:54:04.000Z,#LiterallySomethingElse☠️... Naturally Sarcastic🥴😂 IG:- @dhamm.ie An @wizkidayo /Messi Stan account🦅🐐❤️ Abeg - 1006934172,https://pbs.twimg.com/profile_images/1466398844716040192/rd1QYmsC_normal.jpg,False,False,1051,611,105399,1
3030096622,3030096622,jorgeferraaz,2015-02-11T10:59:41.000Z,"se nem jesus agradou todo mundo, quem dirá eu!",https://pbs.twimg.com/profile_images/1320894262788149249/AuPLveks_normal.jpg,False,False,340,789,7988,0
1193532019109695488,1193532019109695488,JC_Gazele,2019-11-10T14:13:11.000Z,18y • RJ • @vascodagama,https://pbs.twimg.com/profile_images/1451585559391084570/y4KtTzLg_normal.jpg,False,False,80,76,2403,0
2980870267,2980870267,ChicoisneF,2015-01-13T22:35:26.000Z,"Animo EMI, RIP SALA : c’est un argentin qui ne lache rien Emiliano Sala.",https://pbs.twimg.com/profile_images/1347679679147335684/2mJZK7nl_normal.jpg,False,False,155,982,29012,5
1245508575344185344,1245508575344185344,sdzin_3,2020-04-02T00:29:35.000Z,@Flamengo @maurin_03😇,https://pbs.twimg.com/profile_images/1455285699213676557/atxb_IZF_normal.jpg,False,False,545,450,7185,0
1441241121586171913,1441241121586171913,Kwasiabinti_,2021-09-24T03:21:08.000Z,I’m only here to put the stupid ones in their rightful place.,https://pbs.twimg.com/profile_images/1448434264404643844/JlsdTqXO_normal.jpg,False,False,1516,3145,1845,1
981499749265281024,981499749265281024,Roberta64284151,2018-04-04T11:52:30.000Z,,https://pbs.twimg.com/profile_images/1461018595618660353/J5NA9RpH_normal.jpg,False,False,1971,2082,90735,0
241148084,241148084,Adora_99,2011-01-21T15:41:32.000Z,"Free!
Football.
Manchester Football Club.
Coffee.
Whiskey.",https://pbs.twimg.com/profile_images/1252862410320297986/XE4OCTot_normal.jpg,False,False,4490,3959,11697,33
1445146315445489672,1445146315445489672,Brentford_365,2021-10-04T21:58:31.000Z,"Brentford News Bot. Get more Brentford news on our app, FREE on iOS and Android. https://t.co/wVHDVU9eOU #bfc #Bees",https://pbs.twimg.com/profile_images/1445147351199461377/RzrL_5Jp_normal.png,False,False,31,191,1083,0
3897732881,3897732881,mcgintydemack,2015-10-08T08:11:55.000Z,"Certified Accountants Standish, Wigan. We are here to Inspire, Challenge and Support you with your accounts, tax, payroll & bookkeeping. Call us 01942 322767",https://pbs.twimg.com/profile_images/654946879197847553/j2XucZZg_normal.jpg,False,False,1443,2502,18861,43
1285050151619493888,1285050151619493888,Epicper13087130,2020-07-20T03:13:39.000Z,Pretty epic,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,False,False,25,286,6749,0
